data_dia,id_produto,descricao_produto,total_venda_dia_kg,vendas_caixa,Equipe responsável,Feriados_e_Finais_de_Semana
2025-05-25 00:00:00,384706,PE FRANGO INTERF CONG KG,"108,03","7,06",Código Neural,Domingo
2025-05-26 00:00:00,384706,PE FRANGO INTERF CONG KG,"99,31","6,49",Código Neural,
2025-05-27 00:00:00,384706,PE FRANGO INTERF CONG KG,"109,04","7,13",Código Neural,
2025-05-28 00:00:00,384706,PE FRANGO INTERF CONG KG,"119,5","7,81",Código Neural,
2025-05-29 00:00:00,384706,PE FRANGO INTERF CONG KG,"146,92","9,60",Código Neural,
2025-05-30 00:00:00,384706,PE FRANGO INTERF CONG KG,"112,24","7,34",Código Neural,
2025-05-31 00:00:00,384706,PE FRANGO INTERF CONG KG,"123,36","8,06",Código Neural,Sábado
2025-06-01 00:00:00,384706,PE FRANGO INTERF CONG KG,"119,75","7,83",Código Neural,Domingo
2025-06-02 00:00:00,384706,PE FRANGO INTERF CONG KG,"137,83","9,01",Código Neural,
2025-06-03 00:00:00,384706,PE FRANGO INTERF CONG KG,"157,9","10,32",Código Neural,
2025-06-04 00:00:00,384706,PE FRANGO INTERF CONG KG,"112,04","7,32",Código Neural,
2025-06-05 00:00:00,384706,PE FRANGO INTERF CONG KG,"112,66","7,36",Código Neural,
2025-06-06 00:00:00,384706,PE FRANGO INTERF CONG KG,"135,66","8,87",Código Neural,
2025-06-07 00:00:00,384706,PE FRANGO INTERF CONG KG,"130,23","8,51",Código Neural,Sábado
2025-06-08 00:00:00,384706,PE FRANGO INTERF CONG KG,"147,7","9,65",Código Neural,Domingo
2025-06-09 00:00:00,384706,PE FRANGO INTERF CONG KG,"128,76","8,42",Código Neural,
2025-06-10 00:00:00,384706,PE FRANGO INTERF CONG KG,"114,61","7,49",Código Neural,
2025-06-11 00:00:00,384706,PE FRANGO INTERF CONG KG,"128,86","8,42",Código Neural,
2025-06-12 00:00:00,384706,PE FRANGO INTERF CONG KG,"136,63","8,93",Código Neural,
2025-06-13 00:00:00,384706,PE FRANGO INTERF CONG KG,"132,31","8,65",Código Neural,
2025-06-14 00:00:00,384706,PE FRANGO INTERF CONG KG,"127,61","8,34",Código Neural,Sábado
2025-06-15 00:00:00,384706,PE FRANGO INTERF CONG KG,136,"8,89",Código Neural,Domingo
2025-06-16 00:00:00,384706,PE FRANGO INTERF CONG KG,"137,54","8,99",Código Neural,
2025-06-17 00:00:00,384706,PE FRANGO INTERF CONG KG,"140,73","9,20",Código Neural,
2025-06-18 00:00:00,384706,PE FRANGO INTERF CONG KG,"129,73","8,48",Código Neural,
2025-06-19 00:00:00,384706,PE FRANGO INTERF CONG KG,"117,49","7,68",Código Neural,Corpus Christi – quinta-feira
2025-06-20 00:00:00,384706,PE FRANGO INTERF CONG KG,"122,2","7,99",Código Neural,
2025-06-21 00:00:00,384706,PE FRANGO INTERF CONG KG,"138,1","9,03",Código Neural,Sábado
2025-06-22 00:00:00,384706,PE FRANGO INTERF CONG KG,"107,75","7,04",Código Neural,Domingo
