Data,SKU,Kg a Retirar Hoje,Kg em Descongelamento D1,Kg Disponível para Venda,Perda Estimada
2025-06-23,384706,,,120.7144751780383,0.0
2025-06-24,384706,,120.7144751780383,128.25416280390394,0.0
2025-06-25,384706,120.7144751780383,128.25416280390394,126.70090982522234,0.0
2025-06-26,384706,128.25416280390394,126.70090982522234,133.58968325578516,0.0
2025-06-27,384706,126.70090982522234,133.58968325578516,127.9369997713605,0.0
2025-06-28,384706,133.58968325578516,127.9369997713605,128.36352934185737,0.0
2025-06-29,384706,127.9369997713605,128.36352934185737,127.17952665894684,0.0
2025-06-30,384706,128.36352934185737,127.17952665894684,121.24950223562355,0.0
2025-07-01,384706,127.17952665894684,121.24950223562355,128.78918986147383,0.0
2025-07-02,384706,121.24950223562355,128.78918986147383,127.23593688281102,0.0
2025-07-03,384706,128.78918986147383,127.23593688281102,134.12471031335713,0.0
2025-07-04,384706,127.23593688281102,134.12471031335713,128.4720268289329,0.0
2025-07-05,384706,134.12471031335713,128.4720268289329,128.89855639944025,0.0
2025-07-06,384706,128.4720268289329,128.89855639944025,127.71455371655986,0.0
2025-07-07,384706,128.89855639944025,127.71455371655986,121.78452929320879,0.0
2025-07-08,384706,127.71455371655986,121.78452929320879,129.32421691907396,0.0
2025-07-09,384706,121.78452929320879,129.32421691907396,127.7709639403997,0.0
2025-07-10,384706,129.32421691907396,127.7709639403997,134.659737370956,0.0
2025-07-11,384706,127.7709639403997,134.659737370956,129.00705388652557,0.0
2025-07-12,384706,134.659737370956,129.00705388652557,129.43358345705215,0.0
2025-07-13,384706,129.00705388652557,129.43358345705215,128.24958077414297,0.0
2025-07-14,384706,129.43358345705215,128.24958077414297,122.31955635079407,0.0
2025-07-15,384706,128.24958077414297,122.31955635079407,129.85924397666156,0.0
2025-07-16,384706,122.31955635079407,129.85924397666156,128.30599099799238,0.0
2025-07-17,384706,129.85924397666156,128.30599099799238,135.19476442854548,0.0
2025-07-18,384706,128.30599099799238,135.19476442854548,129.54208094411825,0.0
2025-07-19,384706,135.19476442854548,129.54208094411825,129.968610514612,0.0
2025-07-20,384706,129.54208094411825,129.968610514612,128.784607831756,0.0
2025-07-21,384706,129.968610514612,128.784607831756,122.85458340839457,0.0
2025-07-22,384706,128.784607831756,122.85458340839457,130.39427103425544,0.0
